,name,link,salary_min,salary_max,currency_of_salary,site_name
39,Python Developer,https://hh.ru/vacancy/50724015?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,100000.0,150000.0,руб.,hh.ru
40,Junior Python разработчик,https://hh.ru/vacancy/51638670?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,50000.0,,руб.,hh.ru
41,Python-разработчик,https://hh.ru/vacancy/51624632?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,150000.0,250000.0,руб.,hh.ru
42,Разработчик Python,https://hh.ru/vacancy/50952818?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,50000.0,70000.0,руб.,hh.ru
43,Quantitative Developer,https://hh.ru/vacancy/50889422?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,400000.0,,руб.,hh.ru
44,Python разработчик,https://hh.ru/vacancy/50861856?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,80000.0,120000.0,руб.,hh.ru
45,Python developer(Telegram bot),https://hh.ru/vacancy/50642437?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,60000.0,110000.0,руб.,hh.ru
46,Data Analyst / Data Scientist,https://hh.ru/vacancy/51779542?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,,,,hh.ru
47,TeamLead Python,https://hh.ru/vacancy/51740264?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,500000.0,,руб.,hh.ru
48,Стажер Data Scientist,https://hh.ru/vacancy/51808940?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,,,,hh.ru
49,Разработчик Python,https://hh.ru/vacancy/50563570?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,100000.0,200000.0,руб.,hh.ru
50,Backend Developer (Python),https://hh.ru/vacancy/51626608?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,,500000.0,руб.,hh.ru
51,Python разработчик (FastAPI / aiohttp / sanic),https://hh.ru/vacancy/51699644?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,,,,hh.ru
52,Backend-разработчик Python,https://hh.ru/vacancy/51820922?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,170000.0,230000.0,руб.,hh.ru
53,Software Developer Python,https://hh.ru/vacancy/50950040?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,60000.0,180000.0,руб.,hh.ru
54,Разработчик C# / Python,https://hh.ru/vacancy/49749758?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,200000.0,,руб.,hh.ru
55,Upper Junior – Middle Deep Learning Engineer (NLP),https://hh.ru/vacancy/51718324?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,100000.0,200000.0,руб.,hh.ru
56,TeamLead Python ML,https://hh.ru/vacancy/50708565?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,400000.0,600000.0,руб.,hh.ru
57,Middle Python разработчик (Django / Flask),https://hh.ru/vacancy/51033229?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,120000.0,180000.0,руб.,hh.ru
58,Младший компьютерный лингвист (Python) / Junior Data Scientist,https://hh.ru/vacancy/48944828?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,120000.0,,руб.,hh.ru
59,Junior Data Analyst / Аналитик,https://hh.ru/vacancy/51621650?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,,,,hh.ru
60,"Разработчик Python (в компанию резидент ""Сколково"")",https://hh.ru/vacancy/51788987?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,160000.0,220000.0,руб.,hh.ru
61,Python Middle разработчик,https://hh.ru/vacancy/50796151?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,180000.0,,руб.,hh.ru
62,Senior Python Backend Developer,https://hh.ru/vacancy/47891571?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,270000.0,370000.0,руб.,hh.ru
63,Backend developer (Python),https://hh.ru/vacancy/50608586?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,80000.0,170000.0,руб.,hh.ru
64,Бэкенд-разработчик (Python) / Middle Python / Python Developer,https://hh.ru/vacancy/51784547?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,120000.0,,руб.,hh.ru
